item_id,transaction_id,product_id,quantity,unit_price,line_total
1,1,35,1,280,280
2,1,3,1,1299,1299
3,1,18,3,199,597
4,1,40,2,199,398
5,2,21,2,399,798
6,3,50,1,1999,1999
7,3,44,3,199,597
8,3,21,2,399,798
9,3,17,3,1499,4497
10,4,17,1,1499,1499
11,5,1,2,2499,4998
12,5,17,1,1499,1499
13,5,20,2,99,198
14,5,43,2,79,158
15,6,31,1,3499,3499
16,7,19,3,149,447
17,7,20,1,99,99
18,7,21,3,399,1197
19,7,12,3,649,1947
20,7,39,3,549,1647
21,8,15,3,349,1047
22,8,31,1,3499,3499
23,8,49,1,2499,2499
24,8,16,1,799,799
25,9,27,2,1299,2598
26,10,22,1,999,999
27,10,28,2,799,1598
28,10,31,3,3499,10497
29,11,30,1,699,699
30,11,42,1,699,699
31,12,47,2,1799,3598
32,13,19,3,149,447
33,13,7,1,450,450
34,13,6,2,1999,3998
35,14,10,2,899,1798
36,14,5,1,1499,1499
37,15,23,3,699,2097
38,15,4,2,599,1198
39,15,10,1,899,899
40,15,43,3,79,237
41,15,38,3,999,2997
42,16,16,2,799,1598
43,16,37,3,1899,5697
44,16,19,1,149,149
45,16,23,3,699,2097
46,16,29,2,1499,2998
47,17,13,1,249,249
48,17,48,2,1999,3998
49,17,17,1,1499,1499
50,17,19,3,149,447
51,18,9,2,520,1040
52,18,18,1,199,199
53,19,30,2,699,1398
54,20,6,3,1999,5997
55,20,16,1,799,799
56,20,1,3,2499,7497
57,20,18,1,199,199
58,20,33,2,1299,2598
59,21,33,3,1299,3897
60,21,46,3,449,1347
61,21,11,1,1299,1299
62,21,19,2,149,298
63,22,19,2,149,298
64,22,42,3,699,2097
65,22,44,2,199,398
66,23,38,1,999,999
67,23,33,1,1299,1299
68,24,23,3,699,2097
69,24,40,1,199,199
70,24,50,2,1999,3998
71,24,29,2,1499,2998
72,25,5,1,1499,1499
73,25,24,1,499,499
74,25,2,2,299,598
75,26,38,1,999,999
76,26,1,2,2499,4998
77,27,29,3,1499,4497
78,27,17,3,1499,4497
79,28,37,2,1899,3798
80,28,45,2,1299,2598
81,28,48,2,1999,3998
82,28,3,3,1299,3897
83,29,5,2,1499,2998
84,29,3,1,1299,1299
85,29,16,2,799,1598
86,29,12,2,649,1298
87,30,23,1,699,699
88,30,3,3,1299,3897
89,31,38,2,999,1998
90,32,17,1,1499,1499
91,32,44,3,199,597
92,33,4,2,599,1198
93,33,31,3,3499,10497
94,33,42,3,699,2097
95,33,41,1,899,899
96,34,41,3,899,2697
97,34,32,1,599,599
98,35,23,2,699,1398
99,36,12,1,649,649
100,36,15,3,349,1047
101,37,10,2,899,1798
102,37,15,3,349,1047
103,37,2,3,299,897
104,37,38,2,999,1998
105,38,25,2,2499,4998
106,38,6,3,1999,5997
107,38,12,3,649,1947
108,38,44,1,199,199
109,38,14,2,399,798
110,39,26,3,899,2697
111,39,17,1,1499,1499
112,39,41,3,899,2697
113,40,16,2,799,1598
114,40,5,1,1499,1499
115,40,30,1,699,699
116,41,30,3,699,2097
117,41,43,2,79,158
118,42,40,2,199,398
119,42,33,1,1299,1299
120,42,39,2,549,1098
121,42,10,3,899,2697
122,43,7,3,450,1350
123,44,37,1,1899,1899
124,44,26,1,899,899
125,45,18,3,199,597
126,45,15,1,349,349
127,45,23,2,699,1398
128,45,10,2,899,1798
129,46,29,2,1499,2998
130,46,48,1,1999,1999
131,46,30,3,699,2097
132,46,21,2,399,798
133,47,37,2,1899,3798
134,47,47,2,1799,3598
135,47,5,1,1499,1499
136,47,38,2,999,1998
137,48,20,3,99,297
138,48,47,1,1799,1799
139,48,8,2,180,360
140,49,8,2,180,360
141,49,37,2,1899,3798
142,49,13,2,249,498
143,49,15,2,349,698
144,50,5,3,1499,4497
145,50,11,1,1299,1299
146,51,25,1,2499,2499
147,51,16,3,799,2397
148,52,23,3,699,2097
149,52,9,2,520,1040
150,52,33,2,1299,2598
151,52,25,3,2499,7497
152,52,49,2,2499,4998
153,53,41,2,899,1798
154,53,11,3,1299,3897
155,53,36,2,320,640
156,53,42,1,699,699
157,53,21,3,399,1197
158,54,13,1,249,249
159,54,29,2,1499,2998
160,54,8,3,180,540
161,55,31,1,3499,3499
162,55,11,1,1299,1299
163,55,6,2,1999,3998
164,55,9,2,520,1040
165,56,30,2,699,1398
166,56,3,2,1299,2598
167,56,49,1,2499,2499
168,56,21,1,399,399
169,57,25,3,2499,7497
170,57,4,1,599,599
171,57,1,2,2499,4998
172,58,12,1,649,649
173,58,3,2,1299,2598
174,58,21,3,399,1197
175,59,44,1,199,199
176,59,2,2,299,598
177,60,47,3,1799,5397
178,60,3,3,1299,3897
179,60,30,2,699,1398
180,61,22,1,999,999
181,61,49,1,2499,2499
182,61,30,2,699,1398
183,61,29,1,1499,1499
184,62,26,1,899,899
185,62,29,1,1499,1499
186,62,19,1,149,149
187,63,19,2,149,298
188,63,35,3,280,840
189,64,31,2,3499,6998
190,64,28,2,799,1598
191,64,20,2,99,198
192,64,22,3,999,2997
193,65,10,3,899,2697
194,65,25,2,2499,4998
195,66,4,2,599,1198
196,66,30,3,699,2097
197,66,47,1,1799,1799
198,66,22,2,999,1998
199,66,46,2,449,898
200,67,14,2,399,798
201,67,5,3,1499,4497
202,67,35,1,280,280
203,67,43,1,79,79
204,68,4,2,599,1198
205,68,12,3,649,1947
206,69,50,2,1999,3998
207,69,24,3,499,1497
