transaction_id,customer_id,store_id,transaction_date,transaction_time,payment_method,total_amount,discount_amount,tax_amount,net_amount
1,,1,2023-03-03,11:25:59,Credit Card,2574,0,463.32,3037.32
2,49,2,2024-10-18,15:57:07,Debit Card,798,67.0,131.58,862.58
3,23,3,2023-06-20,13:57:31,UPI,7891,0,1420.38,9311.38
4,2,2,2024-10-20,21:44:40,Cash,1499,0,269.82,1768.82
5,,5,2023-03-05,09:46:13,UPI,6853,0,1233.54,8086.54
6,7,2,2024-08-07,19:45:40,Debit Card,3499,0,629.82,4128.82
7,38,3,2023-12-02,17:39:20,UPI,5337,0,960.66,6297.66
8,24,3,2023-02-13,09:39:50,Debit Card,7844,0,1411.92,9255.92
9,14,1,2023-09-21,11:39:25,Wallet,2598,315.55,410.84,2693.29
10,7,2,2023-04-02,21:17:26,Wallet,13094,0,2356.92,15450.92
11,24,4,2023-12-28,13:49:17,Credit Card,1398,169.87,221.06,1449.19
12,20,1,2024-05-15,20:46:24,Debit Card,3598,203.79,610.96,4005.17
13,,5,2024-01-13,21:42:52,UPI,4895,0,881.1,5776.1
14,,2,2023-02-19,14:55:22,Debit Card,3297,0,593.46,3890.46
15,32,1,2024-03-20,17:22:37,Cash,7428,0,1337.04,8765.04
16,24,4,2023-11-19,10:04:49,Credit Card,12539,1164.7,2047.37,13421.67
17,47,4,2023-09-28,09:00:45,Credit Card,6193,341.96,1053.19,6904.23
18,23,3,2023-11-26,20:11:41,Cash,1239,0,223.02,1462.02
19,38,2,2024-09-24,13:46:17,UPI,1398,0,251.64,1649.64
20,23,3,2023-05-09,17:10:03,Debit Card,17090,0,3076.2,20166.2
21,47,4,2024-09-24,10:46:04,Wallet,6841,342.05,1169.81,7668.76
22,42,5,2024-01-24,13:37:18,Credit Card,2793,0,502.74,3295.74
23,,5,2023-08-17,21:43:58,UPI,2298,0,413.64,2711.64
24,24,1,2023-09-03,18:16:14,Wallet,9292,970.37,1497.89,9819.52
25,43,3,2024-02-09,09:03:20,Cash,2596,0,467.28,3063.28
26,18,4,2023-02-20,21:14:40,Debit Card,5997,0,1079.46,7076.46
27,,2,2024-03-13,09:35:26,Cash,8994,0,1618.92,10612.92
28,33,5,2023-07-31,12:05:29,Credit Card,14291,0,2572.38,16863.38
29,9,3,2023-08-22,09:51:59,Cash,7193,0,1294.74,8487.74
30,21,4,2024-08-19,14:57:02,Debit Card,4596,500.08,737.27,4833.19
31,31,1,2024-10-28,15:21:01,Debit Card,1998,0,359.64,2357.64
32,9,5,2023-05-29,12:47:11,Debit Card,2096,0,377.28,2473.28
33,,4,2024-01-01,13:13:58,Debit Card,14691,1398.39,2392.67,15685.28
34,35,2,2024-01-22,14:04:25,UPI,3296,0,593.28,3889.28
35,43,3,2023-08-17,11:52:32,Cash,1398,0,251.64,1649.64
36,44,1,2023-04-20,21:23:32,UPI,1696,24.41,300.89,1972.48
37,3,5,2023-05-13,12:08:12,UPI,5740,308.04,977.75,6409.71
38,36,5,2024-05-27,13:58:55,Cash,13939,523.28,2414.83,15830.55
39,12,1,2023-02-28,09:23:29,Cash,6893,385.04,1171.43,7679.39
40,33,4,2023-10-27,09:48:57,Wallet,3796,327.36,624.36,4093.0
41,2,1,2024-09-22,09:32:01,Wallet,2255,95.92,388.63,2547.71
42,7,3,2024-06-08,12:00:04,Wallet,5492,11.06,986.57,6467.51
43,,3,2023-01-19,12:03:16,UPI,1350,118.07,221.75,1453.68
44,27,5,2023-03-19,16:10:37,Debit Card,2798,0,503.64,3301.64
45,,4,2023-01-14,20:06:14,Cash,4142,0,745.56,4887.56
46,37,5,2023-10-08,09:09:47,Wallet,7892,98.12,1402.9,9196.78
47,36,2,2024-11-08,12:28:04,Cash,10893,595.95,1853.47,12150.52
48,42,3,2023-03-08,15:19:05,Debit Card,2456,0,442.08,2898.08
49,47,2,2024-01-14,12:28:01,UPI,5354,0,963.72,6317.72
50,31,1,2023-12-08,14:33:41,Wallet,5796,411.58,969.2,6353.62
51,4,4,2024-04-28,15:13:42,Wallet,4896,0,881.28,5777.28
52,43,3,2024-04-27,11:27:35,Debit Card,18230,0,3281.4,21511.4
53,19,2,2023-01-19,12:08:55,Cash,8231,1227.97,1260.55,8263.58
